City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,292.27,72,100,9.83,PN,1720385199
1,nova sintra,14.8667,-24.7167,298.65,80,43,2.93,CV,1720385200
2,susuman,62.7833,148.1667,283.65,76,22,2.06,RU,1720385202
3,vadso,70.0744,29.7487,287.64,88,75,1.54,NO,1720385203
4,port-aux-francais,-49.35,70.2167,275.51,87,98,12.07,TF,1720385204
5,tura,25.5198,90.2201,297.5,97,100,1.64,IN,1720385205
6,ushuaia,-54.8,-68.3,275.96,87,40,11.32,AR,1720385206
7,iqaluit,63.7506,-68.5145,282.0,66,75,3.09,CA,1720385207
8,port saint john's,-31.6229,29.5448,292.24,35,0,9.29,ZA,1720385209
9,college,64.8569,-147.8028,285.33,85,75,5.66,US,1720385210
10,whitehorse,60.7161,-135.0538,293.58,34,40,2.57,CA,1720385027
11,jamestown,42.097,-79.2353,298.96,61,75,3.6,US,1720384954
12,itamaraca,-7.7478,-34.8256,300.18,86,57,4.93,BR,1720385213
13,grytviken,-54.2811,-36.5092,267.84,61,14,2.75,GS,1720385214
14,ancud,-41.8697,-73.8203,281.49,80,49,1.53,CL,1720385215
15,olonkinbyen,70.9221,-8.7187,275.22,88,100,4.04,SJ,1720385216
16,enewetak,11.3474,162.3373,301.56,79,36,6.85,MH,1720385218
17,albany,42.6001,-73.9662,304.64,56,94,2.93,US,1720385219
18,waitangi,-43.9535,-176.5597,280.27,86,28,3.58,NZ,1720385220
19,viedma,-40.8135,-62.9967,277.64,49,63,2.94,AR,1720385221
20,puerto ayora,-0.7393,-90.3518,299.13,91,16,1.79,EC,1720385222
21,haiku-pauwela,20.9219,-156.3051,300.47,64,40,8.23,US,1720385223
22,hermanus,-34.4187,19.2345,280.82,74,100,13.54,ZA,1720385225
23,margaret river,-33.95,115.0667,288.38,65,96,6.05,AU,1720385226
24,nemuro,43.3236,145.575,287.56,100,100,3.25,JP,1720385227
25,mana,5.6592,-53.7767,300.35,79,43,3.89,GF,1720385228
26,yuzhno-kurilsk,44.0306,145.8556,287.73,100,100,0.86,RU,1720385229
27,luderitz,-26.6481,15.1594,286.64,73,21,4.71,NA,1720385231
28,kuusamo,65.9667,29.1833,289.17,94,75,6.17,FI,1720385232
29,villa gesell,-37.2639,-56.973,278.74,54,68,5.53,AR,1720385233
30,sunne,59.8376,13.143,286.38,80,91,6.1,SE,1720385234
31,isafjordur,66.0755,-23.124,282.56,71,31,1.22,IS,1720385235
32,greenland,43.0362,-70.8328,307.64,53,75,3.6,US,1720385236
33,cidreira,-30.1811,-50.2056,286.46,80,100,3.94,BR,1720385237
34,edinburgh of the seven seas,-37.0676,-12.3116,286.11,72,100,12.95,SH,1720385239
35,bethel,41.3712,-73.414,305.03,65,100,0.89,US,1720385240
36,atafu village,-8.5421,-172.5159,301.26,77,45,3.83,TK,1720385241
37,wanxian,30.8039,108.3897,299.37,97,100,2.5,CN,1720385242
38,vorgashor,67.5833,63.95,286.57,88,100,4.54,RU,1720385243
39,hawaiian paradise park,19.5933,-154.9731,300.3,70,100,1.34,US,1720385245
40,invercargill,-46.4,168.35,282.05,85,87,1.79,NZ,1720385068
41,st. john's,47.5649,-52.7093,291.08,97,100,6.17,CA,1720385248
42,kodiak,57.79,-152.4072,283.88,87,75,3.6,US,1720385249
43,ivankiv,50.9386,29.8943,291.28,61,11,2.87,UA,1720385250
44,chadan,51.2833,91.5833,286.21,85,0,1.25,RU,1720385251
45,aasiaat,68.7098,-52.8699,277.75,83,98,3.92,GL,1720385252
46,west island,-12.1568,96.8225,300.14,94,20,3.09,CC,1720385253
47,port elizabeth,-33.918,25.5701,288.31,59,0,7.2,ZA,1720385255
48,tolanaro,-25.0319,46.9987,292.19,88,20,1.03,MG,1720385256
49,sitka,57.0531,-135.33,290.09,63,0,4.63,US,1720385257
50,longyearbyen,78.2186,15.6401,278.06,93,75,5.14,SJ,1720385258
51,kimbe,-5.5502,150.1429,298.44,86,83,3.16,PG,1720385259
52,mugia,43.1041,-9.2179,290.32,84,99,7.54,ES,1720385261
53,nurota,40.5614,65.6886,299.29,31,34,3.06,UZ,1720385262
54,shimoda,34.6667,138.95,299.87,83,91,6.52,JP,1720385263
55,sechura,-5.5569,-80.8222,298.34,59,72,7.22,PE,1720385264
56,uturoa,-16.7333,-151.4333,299.07,80,6,7.11,PF,1720385265
57,parelhas,-6.6878,-36.6575,298.57,68,93,7.85,BR,1720385267
58,polaniec,50.4332,21.2812,292.54,84,41,0.45,PL,1720385268
59,howrah,22.5892,88.3103,301.15,94,40,2.57,IN,1720385269
60,natal,-5.795,-35.2094,300.51,69,40,7.2,BR,1720385176
61,qinggang,46.6833,126.0833,290.46,60,89,4.49,CN,1720385271
62,fort bragg,35.139,-79.006,308.06,55,75,3.09,US,1720385272
63,valle hermoso,25.6667,-97.8333,307.09,45,99,4.82,MX,1720385274
64,fort st. john,56.2499,-120.8529,300.09,34,20,4.63,CA,1720385275
65,puerto armuelles,8.2833,-82.8667,303.14,72,97,2.24,PA,1720385276
66,port mathurin,-19.6833,63.4167,296.39,71,99,6.78,MU,1720385277
67,blackmans bay,-43.0167,147.3167,275.66,89,0,3.27,AU,1720385278
68,sundargarh,22.1167,84.0333,301.46,77,100,3.03,IN,1720385279
69,chonchi,-42.6128,-73.8092,282.71,91,70,0.81,CL,1720385280
70,quiberon,47.4841,-3.1196,289.37,64,100,3.32,FR,1720385282
71,mount gambier,-37.8333,140.7667,283.78,74,100,4.68,AU,1720385283
72,qaqortoq,60.7167,-46.0333,280.05,94,100,2.96,GL,1720385285
73,polyarnyy,69.1989,33.4478,287.36,91,100,9.85,RU,1720385286
74,carolina,18.3808,-65.9574,305.47,69,40,8.23,PR,1720385288
75,pemangkat,1.1667,108.9667,298.42,86,90,2.25,ID,1720385289
76,cartagena del chaira,1.3349,-74.8429,295.63,95,100,0.57,CO,1720385290
77,alaghsas,17.0187,8.0168,306.07,26,30,3.1,NE,1720385291
78,kingston,17.997,-76.7936,305.68,70,20,10.8,JM,1720385292
79,ribeira grande,38.5167,-28.7,297.47,88,40,8.75,PT,1720385293
80,avarua,-21.2078,-159.775,294.18,94,100,4.12,CK,1720385295
81,darwin,-12.4611,130.8418,296.14,85,94,0.51,AU,1720385297
82,port lincoln,-34.7333,135.8667,285.05,89,94,6.16,AU,1720385298
83,tuy hoa,13.0833,109.3,297.53,92,85,1.56,VN,1720385299
84,puerto natales,-51.7236,-72.4875,278.4,65,75,3.6,CL,1720385301
85,serdar,38.9764,56.2757,305.0,19,80,1.48,TM,1720385303
86,keflavik,64.0049,-22.5624,284.1,87,75,9.77,IS,1720385304
87,carnarvon,-24.8667,113.6333,291.85,82,100,3.64,AU,1720385305
88,camana,-16.6228,-72.7111,289.58,85,92,4.29,PE,1720385306
89,inirida,3.8653,-67.9239,300.78,78,92,1.06,CO,1720385307
